2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,3,4,5,7,2,2,3,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1
4,5,2,2,2,2,2,2,2,2,2,2,2
NA,3,2,2,2,2,2,2,2,2,2,2,2
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,1,1,3,4,2
1,3,2,3,4,5,8,4,2,2,2,2,2
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,1,1,1,1,1,1,3
4,2,3,4,2,3,4,2,2,2,2,2,2
NA,1,3,4,2,3,2,2,2,3,4,2,2
NA,1,1,1,1,1,1,1,1,3,2,2,3
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,1,1,1,1,1
1,1,3,4,5,8,4,2,2,2,2,2,2
NA,1,1,1,1,3,4,5,2,2,2,3,2
5,7,2,2,2,2,2,2,2,2,2,2,2
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,3,4,5,2,2
NA,1,1,1,1,3,4,5,7,2,2,2,2
3,4,2,2,2,2,2,3,4,5,2,3,2
NA,1,1,1,1,1,1,1,1,1,3,2,2
NA,1,1,1,1,1,1,1,1,1,1,1,1
3,4,5,7,10,2,2,2,3,4,6,9,13
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,3,2,3,4,2,2,2,3,2,3,4,5
NA,1,1,1,1,1,3,2,2,2,2,3,2
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,3,2,2,2,2,2,2,2,2,2,2,2
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,3,2,2,2,2,2,2,2,2,2,3,2
1,3,2,2,2,2,2,2,2,2,2,2,2
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,4,2,3,4,5,2,2,2,2,2,2,2
NA,3,4,5,2,2,2,2,2,2,2,2,2
NA,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,1,1,1,1,1,1,1,1,1,1,1
NA,NA,1,3,4,5,7,2,3,2,3,4,5
NA,NA,1,1,1,1,1,1,1,1,1,1,3
NA,NA,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,4,2,2,2,2,2,2,2,3,4,2
NA,NA,1,1,1,1,1,1,3,4,5,7,2
NA,NA,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,1,1,1,1,1,1,1,1,1,1,1
NA,NA,1,1,1,1,1,1,1,1,1,1,1
NA,NA,3,2,2,3,4,2,2,2,2,2,3
NA,NA,4,2,2,3,4,2,2,3,4,2,2
NA,NA,1,1,1,3,2,2,2,2,2,2,2
NA,NA,1,1,1,1,1,1,1,1,1,1,1
NA,NA,1,1,1,1,1,1,1,1,3,4,2
NA,NA,5,2,2,3,2,2,2,2,2,2,2
NA,NA,1,1,1,1,1,3,4,5,2,2,2
NA,NA,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,1,1,1,1,1,1,1,1,1,1,1
NA,NA,1,1,1,1,1,1,1,3,2,2,2
NA,NA,1,1,1,1,1,1,1,1,1,1,1
NA,1,1,1,1,1,1,3,4,2,2,2,2
NA,NA,1,3,4,5,7,2,3,4,5,7,10
NA,NA,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,3,4,6,4,5,7,2,3,2
1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,3,4,2,2,2,3,4,2
1,3,2,2,2,2,3,4,5,3,4,5,7
